geography_key,city,state,country,region,market,regional_manager,discount_regime,has_return_data,fixed_discount_rate
Colombia|South,Medellín,Antioquia,Colombia,South,LATAM,Chuck Magee,Zero discount,True,
Netherlands|Central,Bergen op Zoom,North Brabant,Netherlands,Central,EU,Anna Andreadi,Fixed,True,0.5
Malaysia|Southeast Asia,Kuantan,Pahang,Malaysia,Southeast Asia,APAC,Alejandro Ballentine,Zero discount,True,
Ecuador|South,Quito,Pichincha,Ecuador,South,LATAM,Chuck Magee,Zero discount,True,
Thailand|Southeast Asia,Bangkok,Bangkok,Thailand,Southeast Asia,APAC,Alejandro Ballentine,Variable,True,
Somalia|Africa,Hargeysa,Woqooyi Galbeed,Somalia,Africa,Africa,Deborah Brumfield,Zero discount,False,
Guatemala|Central,Mixco,Guatemala,Guatemala,Central,LATAM,Anna Andreadi,Zero discount,True,
Belarus|EMEA,Brest,Brest,Belarus,EMEA,EMEA,,Zero discount,False,
Cambodia|Southeast Asia,Phnom Penh,Phnom Penh,Cambodia,Southeast Asia,APAC,Alejandro Ballentine,Zero discount,True,
South Africa|Africa,Johannesburg,Gauteng,South Africa,Africa,Africa,Deborah Brumfield,Zero discount,False,
Japan|North Asia,Fuji,Shizuoka,Japan,North Asia,APAC,Shirley Daniels,Zero discount,True,
Russia|EMEA,Astrakhan',Astrakhan',Russia,EMEA,EMEA,,Zero discount,False,
Egypt|Africa,Cairo,Al Qahirah,Egypt,Africa,Africa,Deborah Brumfield,Zero discount,False,
Azerbaijan|EMEA,Baku,Baki,Azerbaijan,EMEA,EMEA,,Zero discount,False,
Lithuania|EMEA,Vilnius,Vilnius,Lithuania,EMEA,EMEA,,Fixed,False,0.7
Argentina|South,Buenos Aires,Buenos Aires,Argentina,South,LATAM,Chuck Magee,Fixed,True,0.4
Lesotho|Africa,Maseru,Maseru,Lesotho,Africa,Africa,Deborah Brumfield,Zero discount,False,
Vietnam|Southeast Asia,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeast Asia,APAC,Alejandro Ballentine,Variable,True,
Cuba|Caribbean,Camagüey,Camagüey,Cuba,Caribbean,LATAM,Giulietta Dortch,Zero discount,True,
Romania|EMEA,Piatra-Neamt,Neamt,Romania,EMEA,EMEA,,Zero discount,False,
Turkey|EMEA,Izmir,Izmir,Turkey,EMEA,EMEA,,Fixed,False,0.6
Cameroon|Africa,Yaounde,Centre,Cameroon,Africa,Africa,Deborah Brumfield,Zero discount,False,
Hungary|EMEA,Gyula,Bekes,Hungary,EMEA,EMEA,,Zero discount,False,
Singapore|Southeast Asia,Singapore,Singapore,Singapore,Southeast Asia,APAC,Alejandro Ballentine,Zero discount,True,
Angola|Africa,Benguela,Benguela,Angola,Africa,Africa,Deborah Brumfield,Zero discount,False,
Belgium|Central,Ghent,East Flanders,Belgium,Central,EU,Anna Andreadi,Zero discount,True,
Pakistan|Central Asia,Lahore,Punjab,Pakistan,Central Asia,APAC,Nora Preis,Fixed,True,0.5
Finland|North,Espoo,Uusimaa,Finland,North,EU,Jack Lebron,Zero discount,True,
Ghana|Africa,Kumasi,Ashanti,Ghana,Africa,Africa,Deborah Brumfield,Zero discount,False,
Zambia|Africa,Kitwe,Copperbelt,Zambia,Africa,Africa,Deborah Brumfield,Zero discount,False,
Iraq|EMEA,Al Amarah,Maysan,Iraq,EMEA,EMEA,,Zero discount,False,
Liberia|Africa,Monrovia,Montserrado,Liberia,Africa,Africa,Deborah Brumfield,Zero discount,False,
Georgia|EMEA,Tbilisi,Tbilisi,Georgia,EMEA,EMEA,,Zero discount,False,
Switzerland|Central,Zurich,Zürich,Switzerland,Central,EU,Anna Andreadi,Zero discount,True,
Albania|EMEA,Elbasan,Elbasan,Albania,EMEA,EMEA,,Zero discount,False,
Chad|Africa,Koumra,Mandoul,Chad,Africa,Africa,Deborah Brumfield,Zero discount,False,
Montenegro|EMEA,Podgorica,Podgorica,Montenegro,EMEA,EMEA,,Zero discount,False,
Namibia|Africa,Windhoek,Khomas,Namibia,Africa,Africa,Deborah Brumfield,Zero discount,False,
Portugal|South,Lisbon,Lisboa,Portugal,South,EU,Chuck Magee,Fixed,True,0.5
Madagascar|Africa,Antananarivo,Analamanga,Madagascar,Africa,Africa,Deborah Brumfield,Zero discount,False,
Austria|EMEA,Vienna,Vienna,Austria,EMEA,EMEA,,Zero discount,False,
Sweden|North,Haninge,Stockholm,Sweden,North,EU,Jack Lebron,Fixed,True,0.5
Myanmar (Burma)|Southeast Asia,Yangon,Yangon,Myanmar (Burma),Southeast Asia,APAC,Alejandro Ballentine,Variable,True,
Jamaica|Caribbean,Spanish Town,Saint Catherine,Jamaica,Caribbean,LATAM,Giulietta Dortch,Zero discount,True,
Qatar|EMEA,Doha,Ad Dawhah,Qatar,EMEA,EMEA,,Zero discount,False,
Republic of the Congo|Africa,Loubomo,Niari,Republic of the Congo,Africa,Africa,Deborah Brumfield,Zero discount,False,
Norway|North,Kristiansand,Vest-Agder,Norway,North,EU,Jack Lebron,Zero discount,True,
Algeria|Africa,Algiers,Alger,Algeria,Africa,Africa,Deborah Brumfield,Zero discount,False,
South Korea|North Asia,Seoul,Seoul,South Korea,North Asia,APAC,Shirley Daniels,Fixed,True,0.5
Nigeria|Africa,Makurdi,Benue,Nigeria,Africa,Africa,Deborah Brumfield,Fixed,False,0.7
Estonia|EMEA,Tallinn,Harjumaa,Estonia,EMEA,EMEA,,Zero discount,False,
Cote d'Ivoire|Africa,Gagnoa,Fromager,Cote d'Ivoire,Africa,Africa,Deborah Brumfield,Zero discount,False,
Honduras|Central,Tegucigalpa,Francisco Morazán,Honduras,Central,LATAM,Anna Andreadi,Fixed,True,0.4
Paraguay|South,Fernando de la Mora,Central,Paraguay,South,LATAM,Chuck Magee,Zero discount,True,
Czech Republic|EMEA,Prague,Prague,Czech Republic,EMEA,EMEA,,Zero discount,False,
Central African Republic|Africa,Bangui,Bangui,Central African Republic,Africa,Africa,Deborah Brumfield,Zero discount,False,
Benin|Africa,Porto-Novo,Ouémé,Benin,Africa,Africa,Deborah Brumfield,Zero discount,False,
Bolivia|South,Oruro,Oruro,Bolivia,South,LATAM,Chuck Magee,Zero discount,True,
Chile|South,Copiapó,Atacama,Chile,South,LATAM,Chuck Magee,Zero discount,True,
Martinique|Caribbean,Fort-de-France,Martinique,Martinique,Caribbean,LATAM,Giulietta Dortch,Zero discount,True,
Syria|EMEA,Homs,Hims,Syria,EMEA,EMEA,,Variable,False,
Lebanon|EMEA,Beirut,Beirut,Lebanon,EMEA,EMEA,,Zero discount,False,
Kenya|Africa,Nairobi,Nairobi,Kenya,Africa,Africa,Deborah Brumfield,Zero discount,False,
Mali|Africa,Sikasso,Sikasso,Mali,Africa,Africa,Deborah Brumfield,Zero discount,False,
Libya|Africa,Misratah,Misratah,Libya,Africa,Africa,Deborah Brumfield,Zero discount,False,
Venezuela|South,Carora,Lara,Venezuela,South,LATAM,Chuck Magee,Fixed,True,0.4
Trinidad and Tobago|Caribbean,San Fernando,San Fernando,Trinidad and Tobago,Caribbean,LATAM,Giulietta Dortch,Variable,True,
Ireland|North,Dublin,Dublin,Ireland,North,EU,Jack Lebron,Fixed,True,0.5
Bulgaria|EMEA,Sofia,Sofiya-Grad,Bulgaria,EMEA,EMEA,,Zero discount,False,
Panama|Central,Panama City,Panama,Panama,Central,LATAM,Anna Andreadi,Fixed,True,0.4
Israel|EMEA,Ramat Aviv,Tel Aviv,Israel,EMEA,EMEA,,Zero discount,False,
Haiti|Caribbean,Carrefour,Ouest,Haiti,Caribbean,LATAM,Giulietta Dortch,Fixed,True,0.4
Barbados|Caribbean,Bridgetown,Saint Michael,Barbados,Caribbean,LATAM,Giulietta Dortch,Zero discount,True,
Slovenia|EMEA,Ljubljana,Ljubljana,Slovenia,EMEA,EMEA,,Zero discount,False,
Togo|Africa,Lome,Maritime,Togo,Africa,Africa,Deborah Brumfield,Zero discount,False,
Mauritania|Africa,Nouakchott,Nouakchott,Mauritania,Africa,Africa,Deborah Brumfield,Zero discount,False,
Guinea|Africa,Nzerekore,Nzérékoré,Guinea,Africa,Africa,Deborah Brumfield,Zero discount,False,
Rwanda|Africa,Kigali,Kigali,Rwanda,Africa,Africa,Deborah Brumfield,Zero discount,False,
Denmark|North,Copenhagen,Hovedstaden,Denmark,North,EU,Jack Lebron,Fixed,True,0.5
Niger|Africa,Niamey,Niamey,Niger,Africa,Africa,Deborah Brumfield,Zero discount,False,
Papua New Guinea|Oceania,Port Moresby,National Capital,Papua New Guinea,Oceania,APAC,Anthony Jacobs,Fixed,True,0.5
Mongolia|EMEA,Ulan Bator,Ulaanbaatar,Mongolia,EMEA,EMEA,,Zero discount,False,
Sudan|Africa,Bur Sudan,Red Sea,Sudan,Africa,Africa,Deborah Brumfield,Zero discount,False,
Peru|South,Lima,Lima (city),Peru,South,LATAM,Chuck Magee,Fixed,True,0.4
Sierra Leone|Africa,Koidu,Eastern,Sierra Leone,Africa,Africa,Deborah Brumfield,Zero discount,False,
Bosnia and Herzegovina|EMEA,Sarajevo,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,EMEA,EMEA,,Zero discount,False,
Guinea-Bissau|Africa,Bissau,Bissau,Guinea-Bissau,Africa,Africa,Deborah Brumfield,Zero discount,False,
Djibouti|Africa,Djibouti,Djibouti,Djibouti,Africa,Africa,Deborah Brumfield,Zero discount,False,
Tunisia|Africa,Tunis,Tunis,Tunisia,Africa,Africa,Deborah Brumfield,Zero discount,False,
Croatia|EMEA,Zagreb,Grad Zagreb,Croatia,EMEA,EMEA,,Zero discount,False,
Hong Kong|North Asia,Kowloon,Hong Kong,Hong Kong,North Asia,APAC,Shirley Daniels,Zero discount,True,
Nepal|Central Asia,Kathmandu,Central,Nepal,Central Asia,APAC,Nora Preis,Zero discount,True,
Guadeloupe|Caribbean,Les Abymes,Guadeloupe,Guadeloupe,Caribbean,LATAM,Giulietta Dortch,Zero discount,True,
Kyrgyzstan|EMEA,Bishkek,Bishkek,Kyrgyzstan,EMEA,EMEA,,Zero discount,False,
Zimbabwe|Africa,Bulawayo,Bulawayo,Zimbabwe,Africa,Africa,Deborah Brumfield,Fixed,False,0.7
Uzbekistan|EMEA,Termez,Surxondaryo,Uzbekistan,EMEA,EMEA,,Zero discount,False,
South Sudan|Africa,Juba,Central Equatoria,South Sudan,Africa,Africa,Deborah Brumfield,Zero discount,False,
Gabon|Africa,Libreville,Estuaire,Gabon,Africa,Africa,Deborah Brumfield,Zero discount,False,
Bahrain|EMEA,Al Muharraq,Muharraq,Bahrain,EMEA,EMEA,,Zero discount,False,
Yemen|EMEA,Taizz,Ta'izz,Yemen,EMEA,EMEA,,Fixed,False,0.7
Jordan|EMEA,Amman,'Amman,Jordan,EMEA,EMEA,,Zero discount,False,
United Arab Emirates|EMEA,Ras al Khaymah,Ra's Al Khaymah,United Arab Emirates,EMEA,EMEA,,Fixed,False,0.7
Moldova|EMEA,Chisinau,Chisinau,Moldova,EMEA,EMEA,,Zero discount,False,
Swaziland|Africa,Manzini,Manzini,Swaziland,Africa,Africa,Deborah Brumfield,Zero discount,False,
Turkmenistan|EMEA,Ashgabat,Ashgabat,Turkmenistan,EMEA,EMEA,,Fixed,False,0.7
Kazakhstan|EMEA,Kokshetau,Aqmola,Kazakhstan,EMEA,EMEA,,Fixed,False,0.7
Ethiopia|Africa,Dire Dawa,Dire Dawa,Ethiopia,Africa,Africa,Deborah Brumfield,Zero discount,False,
Uganda|Africa,Kampala,Kampala,Uganda,Africa,Africa,Deborah Brumfield,Fixed,False,0.7
Slovakia|EMEA,Nitra,Nitra,Slovakia,EMEA,EMEA,,Zero discount,False,
Sri Lanka|Central Asia,Colombo,Western,Sri Lanka,Central Asia,APAC,Nora Preis,Zero discount,True,
Tajikistan|EMEA,Kulob,Khatlon,Tajikistan,EMEA,EMEA,,Fixed,False,0.7
Burundi|Africa,Bujumbura,Bujumbura-Mairie,Burundi,Africa,Africa,Deborah Brumfield,Zero discount,False,
Macedonia|EMEA,Kumanovo,Kumanovo,Macedonia,EMEA,EMEA,,Zero discount,False,
Eritrea|Africa,Keren,Anseba,Eritrea,Africa,Africa,Deborah Brumfield,Zero discount,False,
Equatorial Guinea|Africa,Bata,Litoral,Equatorial Guinea,Africa,Africa,Deborah Brumfield,Zero discount,False,
Armenia|EMEA,Vanadzor,Lori,Armenia,EMEA,EMEA,,Zero discount,False,
Mongolia|North Asia,Ulan Bator,Ulaanbaatar,Mongolia,North Asia,APAC,Shirley Daniels,Zero discount,True,
